trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.36199999999999977, 'e': 0.0510474340041544}",30,15,13.070699440801274,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.35999999999999976, 'e': 0.04978706836786395}",35,14,37.11029881226078,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.35799999999999976, 'e': 0.04855782127000996}",30,3,44.817690202112814,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.35599999999999976, 'e': 0.047358924391140915}",25,14,20.62642114781501,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.35399999999999976, 'e': 0.04618962838168011}",20,8,23.54546321394815,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.35199999999999976, 'e': 0.04504920239355781}",20,0,32.00715082709385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.34999999999999976, 'e': 0.04393693362340743}",30,7,31.22480577736701,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.34799999999999975, 'e': 0.04285212686704017}",25,10,23.66310691246392,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.34599999999999975, 'e': 0.0417941040849199}",25,14,19.60791128718471,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.34399999999999975, 'e': 0.04076220397836622}",25,14,20.71086847697523,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.34199999999999975, 'e': 0.03975578157622131}",25,14,19.38211527706004,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.33999999999999975, 'e': 0.038774207831722016}",25,3,28.831289457073392,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.33799999999999975, 'e': 0.037816869229325076}",35,9,31.66045537687996,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.33599999999999974, 'e': 0.03688316740124}",20,11,14.835321720003863,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.33399999999999974, 'e': 0.035972518753429654}",35,18,31.63713134040317,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.33199999999999974, 'e': 0.03508435410084503}",25,8,17.500991288062238,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.32999999999999974, 'e': 0.03421811831166604}",30,0,38.40230241364217,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.32799999999999974, 'e': 0.03337326996032607}",25,10,-17.74369376169473,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.32599999999999973, 'e': 0.032549280989103424}",25,8,30.03790074414061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.32399999999999973, 'e': 0.031745636378067946}",20,5,26.136048117584444,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.32199999999999973, 'e': 0.030961833823176885}",25,3,37.35244287830641,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
